bytes,builtin,builtin unrolled,builtin errata,builtin manual,builtin movdq,builtin movdq unrolled,builtin movdq manual,SSSE3
229376, 104617, 51361, 45510, 29376, 51787, 48919, 38370, 57868
230400, 105087, 51586, 45702, 30279, 52029, 49132, 38536, 58123
231424, 105557, 51822, 45906, 29631, 52274, 49365, 38710, 58380
232448, 106024, 52047, 46116, 29755, 52469, 49578, 38873, 58637
233472, 106491, 52272, 46320, 29891, 52594, 49797, 39053, 58900
234496, 106423, 52508, 46515, 30024, 52880, 50016, 39213, 59160
235520, 107417, 52733, 46731, 30154, 53063, 50223, 39408, 59418
236544, 107896, 52958, 46929, 30290, 53253, 50453, 39553, 61281
237568, 108363, 53194, 47136, 30414, 53537, 50666, 39730, 59935
238592, 108655, 53419, 47346, 31364, 53717, 50926, 39896, 60195
239616, 108939, 53655, 47553, 30677, 53945, 51101, 40120, 60452
240640, 109764, 53880, 47757, 30819, 54232, 51326, 40256, 60701
241664, 110240, 54105, 47961, 30943, 54394, 51550, 40422, 62608
242688, 110716, 54341, 48156, 31079, 54648, 51766, 40614, 61224
243712, 110615, 54566, 48357, 31206, 54930, 51985, 40777, 61552
244736, 111621, 54791, 48576, 31331, 55095, 52201, 40951, 61756
245760, 112085, 55027, 48780, 31458, 55331, 52428, 41143, 62002
246784, 112017, 55252, 48960, 31594, 55636, 52671, 41309, 62262
247808, 112939, 55488, 49182, 31721, 55799, 52854, 41486, 62513
248832, 113486, 55713, 49395, 31857, 56008, 53079, 41649, 62779
249856, 113933, 55938, 49554, 31981, 56224, 53289, 41826, 63039
250880, 114441, 56174, 49797, 32120, 56653, 53499, 41989, 63291
251904, 114802, 56399, 49995, 32247, 56881, 53735, 42163, 63560
252928, 115340, 56624, 50211, 33272, 57126, 54025, 42332, 63811
253952, 115831, 56860, 50424, 33377, 57366, 54164, 42506, 64071
254976, 116295, 57085, 50601, 33181, 57608, 54394, 42672, 64331
256000, 116762, 57310, 50844, 33646, 57833, 54613, 42843, 64580
257024, 117235, 57546, 51048, 32930, 58058, 54832, 43012, 64843
258048, 117699, 57771, 51207, 33937, 58297, 55053, 43189, 65109
259072, 117823, 58007, 51408, 33161, 58376, 55272, 43355, 67129
260096, 118643, 58232, 51624, 33288, 58610, 55482, 43538, 65629
261120, 119101, 58457, 51816, 33421, 58846, 55760, 43679, 65872
262144, 119571, 58693, 52026, 33598, 59140, 55961, 43908, 66132
263168, 120050, 58918, 52274, 33716, 59370, 56195, 44070, 66404
264192, 120526, 59143, 52431, 33861, 59473, 56417, 44236, 66658
265216, 120984, 59379, 52656, 33983, 59820, 56627, 44413, 66927
266240, 121451, 59604, 52786, 34065, 59843, 56842, 44549, 67199
267264, 121921, 59840, 52993, 34172, 60071, 57046, 44721, 67420
268288, 122388, 60065, 53200, 34320, 60420, 57286, 44901, 67699
269312, 122844, 60290, 53401, 34452, 60529, 57502, 45067, 67962
270336, 123305, 60526, 53617, 34644, 60955, 57723, 45262, 68219
271360, 123784, 60751, 53821, 34722, 61132, 57942, 45430, 68473
272384, 124254, 60976, 54022, 34914, 61407, 58158, 45584, 68733
273408, 124257, 61212, 54217, 35020, 61646, 58374, 45758, 70835
274432, 124836, 61437, 54412, 35171, 61818, 58569, 45912, 69221
275456, 125309, 61662, 54616, 35502, 62102, 58779, 46075, 69505
276480, 125765, 61898, 54838, 35759, 62353, 59003, 46278, 71641
277504, 126542, 62123, 55003, 35939, 62572, 59219, 46444, 69999
278528, 126995, 62359, 55269, 35703, 62808, 59474, 46603, 70238
279552, 127465, 62584, 55311, 35987, 62894, 59651, 46817, 70525
280576, 127813, 62809, 55506, 36073, 63299, 59923, 46988, 70803
281600, 127902, 63045, 55846, 36167, 63444, 60139, 47160, 71030
282624, 128905, 63270, 55967, 36295, 63610, 60360, 47284, 71288
283648, 128886, 63495, 56298, 36427, 63799, 60573, 47473, 71563
284672, 129842, 63731, 56505, 36558, 64092, 60730, 47636, 71835
285696, 130306, 63956, 56718, 36616, 64293, 61005, 47825, 72077
286720, 130779, 64192, 56893, 36818, 64621, 61248, 48020, 72355
287744, 131145, 64417, 57114, 37125, 64958, 61443, 48186, 74573
288768, 131692, 64642, 57327, 37110, 65076, 61670, 48351, 72849
289792, 131675, 64878, 57528, 37326, 65345, 61886, 48546, 73109
290816, 132633, 65103, 57771, 37362, 65501, 62117, 48694, 73366
291840, 132863, 65328, 57960, 37424, 65845, 62332, 48877, 73662
292864, 133399, 65564, 58125, 37826, 66010, 62554, 49043, 73916
293888, 133986, 65789, 58359, 37897, 66235, 62725, 49194, 74143
294912, 134492, 66014, 58610, 38009, 66436, 63018, 49398, 74430
295936, 134474, 66250, 58723, 38077, 66779, 63217, 49569, 74694
296960, 135456, 66475, 58968, 38181, 66942, 63438, 49764, 74930
297984, 135633, 66711, 59113, 38317, 67181, 63627, 49889, 75208
299008, 136243, 66936, 59379, 38660, 67453, 63873, 50107, 75448
300032, 136843, 67161, 59580, 38237, 67622, 64082, 50272, 75740
301056, 137065, 67397, 59781, 38692, 67864, 64287, 50438, 75998
302080, 137260, 67622, 59932, 39177, 68127, 64514, 50607, 76287
303104, 138206, 67847, 60139, 39076, 68391, 64778, 50781, 76545
304128, 138670, 68083, 60458, 39192, 68600, 65008, 50947, 76810
305152, 136807, 68308, 60632, 39253, 68807, 65188, 51107, 77044
306176, 139530, 68544, 60757, 39493, 69076, 65419, 51308, 77278
307200, 140068, 68769, 61016, 39635, 69304, 65632, 51511, 77576
308224, 140071, 68994, 61233, 39434, 69546, 65871, 51663, 77896
309248, 141056, 69230, 61413, 39887, 69694, 66067, 51834, 78079
310272, 141517, 69455, 61596, 39940, 69998, 66297, 52011, 78390
311296, 141978, 69680, 61889, 40126, 70197, 66513, 52180, 78567
312320, 142427, 69916, 62022, 40395, 70480, 66714, 52372, 78853
313344, 142844, 70141, 62229, 40502, 70693, 66980, 52561, 79208
314368, 143288, 70366, 62362, 40602, 70957, 67187, 52718, 79380
315392, 143802, 70602, 62643, 40696, 71131, 67353, 52868, 79682
316416, 143740, 70827, 62865, 40761, 71409, 67637, 53067, 79944
317440, 144790, 71063, 63071, 40977, 71675, 67828, 53241, 80160
318464, 144745, 71288, 63258, 41131, 71790, 68068, 53398, 80465
319488, 145712, 71513, 63483, 41270, 72089, 68304, 53578, 80722
320512, 146144, 71749, 63624, 41359, 72343, 68508, 53773, 80950
321536, 146058, 71974, 63932, 41504, 72553, 68751, 53904, 81281
322560, 146623, 72199, 64083, 41592, 72849, 68973, 54081, 81476
323584, 147593, 72435, 64225, 41891, 73065, 69162, 54282, 81775
324608, 148045, 72660, 64520, 41802, 73174, 69410, 54450, 82026
325632, 148518, 72896, 64754, 41938, 73407, 69579, 54636, 82277
326656, 148332, 73121, 64931, 42260, 73744, 69836, 54811, 82505
327680, 149458, 73346, 65121, 42180, 74005, 70043, 54980, 82777
328704, 149905, 73582, 65333, 42533, 74191, 70274, 55160, 83052
329728, 150372, 73807, 65523, 42734, 74345, 70495, 55314, 83330
330752, 150318, 74032, 65765, 42731, 74631, 70708, 55488, 83587
331776, 151330, 74268, 65904, 42982, 74880, 70959, 55689, 83865
332800, 151791, 74493, 66123, 43097, 75155, 71131, 55855, 84116
333824, 152258, 74718, 66344, 43153, 75264, 71335, 56029, 84349
334848, 152725, 74954, 66569, 43310, 75521, 71548, 56189, 84595
335872, 153142, 75179, 66732, 43621, 75858, 71808, 56322, 84858
336896, 153609, 75415, 66906, 43674, 76063, 72044, 56485, 85104
337920, 154085, 75640, 67143, 43898, 76148, 72260, 56673, 85414
338944, 154452, 75865, 67423, 44049, 76612, 72414, 56848, 85656
339968, 155022, 76101, 67619, 45101, 76746, 72639, 57034, 85911
340992, 155037, 76326, 67790, 44182, 77014, 72920, 57227, 86156
342016, 155957, 76551, 67988, 44410, 77216, 73100, 57378, 86419
343040, 156415, 76787, 68162, 44472, 77419, 73319, 57528, 86676
344064, 156900, 77012, 68420, 44682, 77742, 73570, 57691, 86934
345088, 157352, 77248, 68589, 46216, 77889, 73789, 57845, 87203
346112, 157811, 77473, 68828, 45181, 78135, 73966, 58051, 87442
347136, 158283, 77698, 69026, 46446, 78360, 74141, 58247, 87700
348160, 158742, 77934, 69250, 45273, 78504, 74428, 58359, 88001
349184, 158591, 78159, 69443, 45049, 78901, 74641, 58616, 88264
350208, 159729, 78384, 69626, 45492, 79128, 74880, 58781, 88501
351232, 160179, 78620, 69860, 45450, 79285, 75108, 58926, 88737
352256, 160654, 78845, 70004, 45705, 79450, 75338, 59131, 89039
353280, 161125, 79070, 70259, 45734, 79687, 75495, 59293, 89261
354304, 161012, 79306, 70519, 45119, 79942, 75755, 59447, 89586
355328, 161506, 79531, 70664, 45868, 80205, 75965, 59648, 89766
356352, 162526, 79767, 70800, 45291, 80518, 76219, 59816, 90056
357376, 162996, 79992, 71119, 46063, 80784, 76417, 59947, 90298
358400, 163472, 80217, 71279, 46406, 80873, 76666, 60180, 90600
359424, 163383, 80453, 71507, 46607, 81248, 76872, 60334, 90839
360448, 164371, 80678, 71696, 48316, 81376, 77088, 60455, 91114
361472, 164808, 80903, 71920, 47354, 81573, 77289, 60650, 93810
362496, 165284, 81139, 72104, 48358, 81827, 77517, 60839, 91622
363520, 165758, 81364, 72266, 47275, 82138, 77686, 60996, 91868
364544, 166222, 81600, 72491, 47624, 82280, 77979, 61158, 92149
365568, 166671, 81825, 72704, 47461, 82602, 78212, 61327, 92400
366592, 166931, 82050, 72893, 49114, 82794, 78378, 61534, 92666
367616, 167141, 82286, 73029, 47411, 83081, 78602, 61685, 92930
368640, 168093, 82511, 73349, 49271, 83271, 78818, 61860, 93201
369664, 168557, 82736, 73567, 48286, 83492, 79049, 62049, 93432
370688, 169013, 82972, 73742, 49183, 83634, 79267, 62217, 93687
371712, 169480, 83197, 73919, 48328, 83974, 79495, 62377, 93950
372736, 169947, 83422, 74200, 48452, 84240, 79743, 62575, 94204
373760, 170411, 83658, 74389, 48942, 84406, 79912, 62749, 94529
374784, 170893, 83883, 74560, 48715, 84663, 80095, 62903, 94745
375808, 171351, 84119, 74812, 48987, 84855, 80320, 63059, 94967
376832, 171804, 84344, 74969, 50592, 85101, 80548, 63240, 95236
377856, 172295, 84569, 75087, 49666, 85364, 80790, 63415, 95528
378880, 172756, 84805, 75409, 49575, 85485, 80997, 63577, 95789
379904, 173214, 85030, 75557, 50731, 85831, 81222, 63784, 96034
380928, 173696, 85255, 75726, 49734, 86079, 81487, 63923, 96273
381952, 173509, 85491, 75971, 50903, 86360, 81718, 64145, 96560
382976, 174388, 85716, 76231, 49824, 86464, 81908, 64254, 96806
384000, 174423, 85952, 76317, 51082, 86777, 82044, 64429, 97095
385024, 175558, 86177, 76627, 49998, 86933, 82366, 64641, 97373
386048, 176022, 86402, 76787, 50391, 87217, 82543, 64804, 97589
387072, 176472, 86638, 77029, 51538, 87454, 82789, 64928, 97885
388096, 176930, 86863, 77260, 50332, 87617, 83025, 65174, 98186
389120, 177445, 87088, 77414, 50447, 87939, 83256, 65313, 98408
390144, 177927, 87324, 77609, 50024, 88134, 83448, 65496, 98647
391168, 177732, 87549, 77798, 50429, 88311, 83667, 65685, 98872
392192, 178864, 87774, 78025, 50932, 88504, 83859, 65842, 99159
393216, 179352, 88010, 78244, 50817, 88846, 84101, 66031, 99422
394240, 179813, 88235, 78460, 49812, 89053, 84373, 66182, 99650
395264, 179494, 88471, 78644, 50048, 89249, 84557, 66392, 99931
396288, 180088, 88696, 78815, 51216, 89385, 84755, 66542, 100182
397312, 181214, 88921, 79010, 50610, 89760, 84965, 66711, 100462
398336, 181631, 89157, 79300, 51257, 89967, 85159, 66933, 100699
399360, 181521, 89382, 79472, 51447, 90307, 85426, 67069, 100945
400384, 182565, 89607, 79613, 51023, 90404, 85594, 67208, 101237
401408, 183080, 89843, 79932, 52041, 90644, 85884, 67418, 101480
402432, 183562, 90068, 80009, 52002, 90934, 86059, 67592, 101787
