bytes,builtin unrolled,builtin manual,builtin movdq manual,SSSE3
599040, 141495, 88276, 106442, 155992
600064, 141743, 90406, 106732, 156252
601088, 141984, 90347, 109858, 152385
602112, 142225, 83885, 101320, 152616
603136, 142466, 87028, 107069, 152855
604160, 146777, 90802, 110423, 153184
605184, 142948, 85726, 107449, 153429
606208, 139312, 89142, 107712, 153695
607232, 143430, 87788, 107959, 158101
608256, 143671, 87568, 108012, 158370
609280, 140013, 83699, 108423, 158812
610304, 148270, 91752, 111613, 158947
611328, 148555, 92670, 111735, 155019
612352, 148778, 86451, 111934, 155229
613376, 137254, 81284, 103266, 155481
614400, 137490, 85917, 103484, 155785
615424, 141957, 83918, 109409, 156021
616448, 137940, 88102, 103818, 156314
617472, 145847, 90134, 109792, 160776
618496, 142141, 84527, 106990, 161121
619520, 142361, 82440, 107174, 161387
620544, 150748, 93495, 113505, 161604
621568, 151002, 87587, 113499, 157585
622592, 147059, 91278, 110692, 157872
623616, 147300, 85624, 110837, 158094
624640, 139773, 86257, 105184, 158363
625664, 147782, 91825, 111254, 158638
626688, 148023, 91364, 111470, 158892
627712, 152495, 91510, 114805, 163484
628736, 148512, 93506, 111798, 163747
629760, 148753, 89096, 111999, 163989
630784, 148994, 89618, 112077, 164239
631808, 149235, 95651, 112237, 160223
632832, 145429, 98065, 109407, 160418
633856, 149724, 92084, 112741, 160699
634880, 154242, 96061, 116062, 160930
635904, 146130, 100582, 109891, 161199
636928, 142528, 82655, 107283, 161509
637952, 150688, 93339, 113372, 166086
638976, 146831, 95886, 110465, 166388
640000, 147098, 84692, 110658, 166672
641024, 151414, 100686, 113878, 162558
642048, 151655, 87012, 117428, 162742
643072, 151893, 83123, 108336, 163034
644096, 144125, 83250, 108489, 163295
645120, 152375, 105530, 114623, 163531
646144, 144586, 90026, 108868, 163830
647168, 152864, 93772, 115112, 168537
648192, 148959, 85501, 115309, 168764
649216, 153346, 101493, 115421, 169051
650240, 157959, 91773, 115681, 169383
651264, 149660, 86160, 112744, 165136
652288, 154076, 104593, 115844, 165399
653312, 154310, 102111, 116020, 165639
654336, 146419, 85713, 110193, 165914
655360, 146644, 90271, 110432, 166145
656384, 150845, 93496, 113509, 170943
657408, 155281, 98900, 116793, 171175
658432, 155522, 99048, 117065, 171457
659456, 151546, 87270, 114083, 171750
660480, 156007, 107350, 117476, 167478
661504, 156245, 103161, 114394, 167670
662528, 148252, 94334, 114557, 167957
663552, 156727, 97070, 111668, 168229
664576, 152731, 93680, 114902, 168486
665600, 152948, 88040, 115246, 168741
666624, 157457, 90641, 118506, 173545
667648, 157698, 90799, 118691, 173872
668672, 162438, 93535, 122288, 174098
669696, 158180, 103709, 119022, 169837
670720, 158421, 91194, 119120, 170027
671744, 158662, 105533, 119402, 170316
672768, 154592, 102822, 116452, 170529
673792, 159144, 101295, 119791, 170846
674816, 159392, 93132, 120008, 171118
675840, 159633, 96260, 120181, 176017
676864, 159874, 100925, 120239, 176356
677888, 164693, 102538, 123980, 176525
678912, 160363, 92310, 120700, 172267
679936, 152143, 89953, 114568, 172389
680960, 152368, 87723, 114693, 172685
681984, 156738, 108024, 121204, 172942
683008, 152829, 93908, 115071, 173181
684032, 166186, 100180, 121760, 173400
685056, 161809, 97562, 121788, 178356
686080, 162050, 93898, 118798, 178671
687104, 166917, 95780, 125676, 178927
688128, 167205, 108821, 125987, 174470
689152, 154204, 101917, 116108, 174719
690176, 154437, 101267, 116186, 175005
691200, 158848, 100229, 119659, 175209
692224, 163503, 105314, 123117, 175511
693248, 159307, 91709, 120070, 175795
694272, 159552, 92223, 120076, 180810
695296, 164226, 94529, 123630, 181106
696320, 164467, 104723, 123819, 181312
697344, 169395, 112037, 127659, 176894
698368, 156270, 90638, 117590, 177063
699392, 160734, 96823, 117809, 177338
700416, 160951, 97031, 121043, 177566
701440, 170411, 106080, 128191, 177829
702464, 165920, 100031, 124898, 182902
703488, 170888, 106407, 128602, 183228
704512, 166402, 96452, 125271, 183512
705536, 166643, 95932, 125398, 188799
706560, 166884, 100853, 129170, 179147
707584, 158328, 97512, 119192, 179399
708608, 162837, 100329, 122509, 179692
709632, 163079, 112215, 122787, 179907
710656, 172635, 114140, 130007, 180144
711680, 168096, 104627, 126632, 185353
712704, 168337, 97611, 126687, 185676
713728, 168578, 104776, 126990, 185900
714752, 168819, 111455, 127169, 186172
715776, 164481, 104829, 123854, 181483
716800, 160386, 95626, 120747, 181752
717824, 169542, 97605, 120972, 181983
718848, 169783, 111295, 127887, 187169
719872, 174890, 113439, 131609, 187453
720896, 175113, 105602, 131875, 187771
721920, 170513, 96176, 128390, 188034
722944, 175621, 101737, 132231, 188332
723968, 170995, 98430, 128616, 188526
724992, 171236, 103224, 128913, 188789
726016, 176383, 106322, 132763, 189100
727040, 171718, 105798, 129314, 189418
728064, 171966, 110027, 129506, 189654
729088, 167552, 102868, 133235, 189904
730112, 172448, 106148, 129889, 190219
731136, 177622, 106010, 133742, 190478
732160, 172930, 114546, 133915, 190744
733184, 173171, 107326, 130378, 190932
734208, 178353, 102381, 134223, 191204
735232, 173653, 100677, 130841, 191439
736256, 173894, 114957, 130974, 191757
737280, 179115, 103112, 134994, 192086
738304, 174376, 116119, 131262, 192316
739328, 174624, 115371, 131308, 192542
740352, 180429, 157688, 219990, 198137
741376, 180100, 112983, 135921, 198446
742400, 180354, 104412, 135734, 198801
743424, 180608, 112436, 136055, 193612
744448, 175829, 101202, 132294, 193863
745472, 171299, 104460, 136390, 194090
746496, 176318, 108414, 132683, 194495
747520, 176559, 105071, 136583, 194710
